gesture_name,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
ok,0.451,0.6447,0.0,0.5103,0.6561,-0.0137,0.569,0.6418,-0.0226,0.6196,0.6192,-0.0339,0.6597,0.5883,-0.0428,0.5498,0.5105,0.0087,0.5934,0.4988,-0.0191,0.626,0.5148,-0.0406,0.646,0.546,-0.0492,0.5366,0.4653,0.0018,0.5781,0.3888,-0.0125,0.6208,0.3642,-0.0179,0.6596,0.3517,-0.0177,0.5174,0.4358,-0.0116,0.5376,0.3472,-0.0282,0.575,0.3089,-0.03,0.6108,0.2905,-0.0259,0.4931,0.4231,-0.0277,0.4967,0.3387,-0.0378,0.5232,0.3049,-0.0334,0.5552,0.2916,-0.0265
victory,0.9532,0.7684,0.0,0.9059,0.7722,-0.0332,0.8627,0.7153,-0.0449,0.8587,0.6269,-0.0543,0.8602,0.5581,-0.0622,0.7979,0.6456,-0.0174,0.7482,0.5769,-0.0347,0.7194,0.5345,-0.0477,0.6942,0.4977,-0.0571,0.8311,0.603,-0.0172,0.7969,0.5029,-0.036,0.7783,0.4362,-0.0538,0.7623,0.3826,-0.0642,0.8727,0.5909,-0.021,0.8542,0.5187,-0.0562,0.8695,0.5487,-0.0703,0.8823,0.5762,-0.0713,0.9175,0.599,-0.0264,0.907,0.5575,-0.0605,0.9173,0.5947,-0.0659,0.928,0.628,-0.0626
thumbs,0.9933,0.7929,-0.0,0.9343,0.701,-0.0019,0.8475,0.6081,-0.0225,0.7926,0.5271,-0.0421,0.7635,0.4414,-0.0651,0.8018,0.6186,-0.0724,0.7048,0.7188,-0.0858,0.7125,0.7747,-0.0781,0.7334,0.789,-0.0731,0.8269,0.6842,-0.0877,0.7105,0.7912,-0.1011,0.7294,0.8359,-0.0882,0.7602,0.8394,-0.083,0.8538,0.7654,-0.0985,0.7388,0.862,-0.1116,0.768,0.8815,-0.0886,0.8065,0.8682,-0.0766,0.8788,0.8517,-0.1081,0.7886,0.9204,-0.126,0.8073,0.9237,-0.1135,0.8357,0.904,-0.1034
thumbs,0.7677,0.3986,-0.0,0.7281,0.4743,-0.0285,0.6705,0.5515,-0.0495,0.6363,0.6228,-0.0714,0.625,0.6891,-0.0894,0.5956,0.4903,-0.0178,0.5431,0.478,-0.0576,0.6006,0.4725,-0.0818,0.6462,0.4762,-0.0917,0.5996,0.427,-0.02,0.5424,0.4207,-0.0652,0.6097,0.4295,-0.0791,0.6575,0.4396,-0.0771,0.6146,0.3686,-0.0277,0.5686,0.3626,-0.0693,0.6348,0.3822,-0.0636,0.6816,0.4007,-0.0471,0.6341,0.3146,-0.0374,0.6,0.3123,-0.0592,0.6427,0.342,-0.0486,0.6747,0.3668,-0.034
fist,0.695,0.5478,-0.0,0.613,0.6073,-0.0341,0.5497,0.6307,-0.0649,0.5094,0.6421,-0.0934,0.5001,0.6182,-0.1159,0.4813,0.445,-0.037,0.4757,0.567,-0.0752,0.5152,0.5891,-0.0972,0.5227,0.5639,-0.1104,0.5176,0.4125,-0.0406,0.5176,0.5584,-0.0755,0.5545,0.5703,-0.081,0.5558,0.5361,-0.0818,0.5649,0.4011,-0.0495,0.5641,0.5443,-0.0801,0.5939,0.5538,-0.0687,0.5954,0.5196,-0.0576,0.6125,0.4081,-0.063,0.6099,0.522,-0.0795,0.6276,0.5268,-0.0716,0.6299,0.4932,-0.0624
ok,0.4961,0.6299,0.0,0.5505,0.6402,-0.0105,0.6018,0.6307,-0.0191,0.6527,0.6228,-0.0311,0.6982,0.6108,-0.0409,0.5896,0.5075,0.0112,0.6384,0.514,-0.0123,0.6711,0.541,-0.0305,0.6913,0.573,-0.0385,0.5851,0.4727,0.0028,0.6287,0.4138,-0.009,0.6729,0.3953,-0.0139,0.7109,0.3852,-0.0146,0.5715,0.4511,-0.0116,0.5951,0.372,-0.0259,0.632,0.3383,-0.0273,0.6664,0.3194,-0.0246,0.5529,0.4423,-0.0286,0.5568,0.3648,-0.0396,0.5806,0.3287,-0.0381,0.6087,0.3085,-0.0339
ok,0.5079,0.6332,0.0,0.5576,0.647,-0.0088,0.6121,0.6327,-0.0135,0.6597,0.6238,-0.0205,0.7009,0.6146,-0.0257,0.6014,0.5195,0.0088,0.6484,0.5244,-0.0093,0.6794,0.5486,-0.0239,0.7004,0.579,-0.0306,0.5956,0.4806,0.0009,0.6376,0.4222,-0.008,0.6811,0.4013,-0.0131,0.7179,0.3913,-0.0145,0.5802,0.4566,-0.0119,0.6026,0.3795,-0.0248,0.6404,0.3437,-0.03,0.6751,0.3236,-0.0305,0.5596,0.4471,-0.0265,0.5672,0.3711,-0.0374,0.5911,0.3343,-0.0382,0.6196,0.3139,-0.0363
fist,0.4858,0.6244,-0.0,0.5486,0.6428,-0.0006,0.5911,0.6316,-0.0085,0.6216,0.6097,-0.023,0.6373,0.568,-0.0342,0.615,0.5158,0.0211,0.6573,0.5339,-0.0078,0.6378,0.5742,-0.0292,0.6133,0.586,-0.0394,0.601,0.4891,0.007,0.6537,0.5161,-0.021,0.6224,0.5604,-0.0338,0.5937,0.5615,-0.0365,0.5843,0.4655,-0.0118,0.6312,0.5155,-0.0407,0.5942,0.5541,-0.0387,0.5658,0.5441,-0.0301,0.5621,0.4501,-0.0312,0.6038,0.5112,-0.0468,0.578,0.5433,-0.0388,0.5531,0.5328,-0.0288
fist,0.4927,0.6242,-0.0,0.5492,0.6478,0.0004,0.5905,0.6329,-0.0051,0.6215,0.6101,-0.0164,0.6395,0.5716,-0.0237,0.6096,0.5064,0.0197,0.652,0.5243,-0.0062,0.6264,0.5685,-0.0229,0.5974,0.5727,-0.0302,0.5972,0.4834,0.0064,0.6523,0.5143,-0.0193,0.6193,0.5659,-0.0287,0.5887,0.5628,-0.029,0.5828,0.4651,-0.011,0.6347,0.5202,-0.0391,0.5965,0.5662,-0.0352,0.5656,0.5532,-0.025,0.5627,0.4549,-0.0285,0.6085,0.5186,-0.0452,0.5819,0.5554,-0.0371,0.5544,0.5433,-0.0267
thumbs,0.469,0.5844,-0.0,0.5055,0.5069,0.0059,0.5614,0.462,0.0004,0.6023,0.4204,-0.0095,0.6219,0.3737,-0.0191,0.644,0.5018,0.0014,0.6826,0.5928,-0.006,0.6827,0.6414,-0.0124,0.6776,0.6679,-0.0185,0.6498,0.5481,-0.0114,0.667,0.6393,-0.0119,0.643,0.6601,-0.0107,0.6241,0.6576,-0.0124,0.6398,0.5983,-0.0243,0.6451,0.681,-0.0248,0.6145,0.6854,-0.018,0.5925,0.6693,-0.0161,0.6203,0.6518,-0.038,0.6094,0.7115,-0.0374,0.582,0.7068,-0.0315,0.5635,0.6854,-0.0275

victory,0.7918,0.8711,0.0,0.8119,0.7555,0.0008,0.7704,0.6612,-0.0084,0.7065,0.6301,-0.0146,0.6558,0.6369,-0.0227,0.7663,0.6197,-0.0584,0.7034,0.4932,-0.0796,0.6674,0.421,-0.0881,0.6396,0.3652,-0.0903,0.716,0.6689,-0.0599,0.6222,0.5645,-0.0733,0.5653,0.5095,-0.077,0.5197,0.4699,-0.0784,0.6775,0.7225,-0.0551,0.6194,0.6493,-0.0577,0.6254,0.6487,-0.0497,0.6343,0.6653,-0.0424,0.653,0.7731,-0.0492,0.6458,0.7139,-0.0434,0.6649,0.7217,-0.0288,0.6809,0.738,-0.0156
victory,0.9663,0.595,0.0,0.9046,0.5181,0.0093,0.8221,0.4929,-0.0048,0.7545,0.5376,-0.0203,0.7143,0.5869,-0.039,0.7865,0.4228,-0.0534,0.6771,0.4322,-0.0851,0.6082,0.4261,-0.108,0.5524,0.4193,-0.1247,0.8048,0.4713,-0.071,0.6823,0.5442,-0.1005,0.6107,0.5837,-0.1168,0.5587,0.6066,-0.1315,0.8222,0.5373,-0.0828,0.7211,0.63,-0.0969,0.7488,0.6427,-0.0807,0.7792,0.6246,-0.07,0.8395,0.6031,-0.0941,0.77,0.6747,-0.1008,0.7937,0.6758,-0.083,0.8188,0.652,-0.0684
victory,0.2749,0.6476,0.0,0.3276,0.5286,0.0033,0.4273,0.4846,-0.0116,0.5147,0.5135,-0.0243,0.5756,0.5472,-0.0364,0.4657,0.4415,-0.0729,0.6005,0.4498,-0.1041,0.6838,0.4602,-0.1173,0.747,0.4682,-0.1234,0.4697,0.5209,-0.0891,0.6236,0.564,-0.119,0.7137,0.5973,-0.125,0.7782,0.621,-0.1265,0.4601,0.6136,-0.0987,0.5811,0.6816,-0.1198,0.5749,0.6893,-0.104,0.5541,0.6845,-0.0883,0.4379,0.7053,-0.107,0.5056,0.7384,-0.1134,0.486,0.7249,-0.0914,0.4605,0.7109,-0.0712
looser,0.5183,0.4091,-0.0,0.5485,0.4551,-0.0173,0.5884,0.4929,-0.0282,0.6204,0.5297,-0.0409,0.6377,0.5664,-0.0495,0.6297,0.415,-0.0013,0.6586,0.4041,-0.0215,0.6263,0.4154,-0.0313,0.6151,0.4202,-0.035,0.6258,0.3771,-0.0015,0.657,0.3661,-0.0198,0.618,0.3836,-0.0209,0.6095,0.3881,-0.0169,0.6196,0.3404,-0.0062,0.6611,0.3213,-0.025,0.6267,0.3431,-0.0176,0.6098,0.3537,-0.0064,0.6099,0.3055,-0.013,0.6455,0.2851,-0.0223,0.6281,0.3036,-0.0143,0.6126,0.3209,-0.004
three,0.3917,1.0045,0.0,0.4616,0.9698,0.0055,0.5055,0.9177,-0.0039,0.5399,0.8803,-0.0208,0.5737,0.8523,-0.038,0.4645,0.7979,-0.0111,0.5295,0.7424,-0.0365,0.5713,0.7084,-0.0507,0.6044,0.6794,-0.0586,0.4484,0.8053,-0.0311,0.5599,0.7981,-0.0712,0.6034,0.8628,-0.0814,0.6181,0.9169,-0.0784,0.4443,0.8375,-0.0509,0.5554,0.8622,-0.089,0.5735,0.936,-0.0826,0.5675,0.9879,-0.0659,0.4475,0.8812,-0.0703,0.5368,0.8902,-0.089,0.5542,0.9342,-0.0772,0.5512,0.971,-0.0617
three,0.1775,0.8532,0.0,0.1762,0.7151,-0.0077,0.2477,0.5969,-0.0334,0.3432,0.561,-0.0519,0.4178,0.5476,-0.073,0.2219,0.5365,-0.1066,0.3526,0.434,-0.1404,0.4414,0.3843,-0.1524,0.5078,0.3447,-0.158,0.2508,0.6146,-0.1224,0.4019,0.4923,-0.1663,0.5016,0.4301,-0.1818,0.5735,0.3812,-0.1889,0.287,0.7067,-0.1305,0.4438,0.6329,-0.1696,0.5339,0.5729,-0.1835,0.598,0.5197,-0.1901,0.3256,0.7984,-0.134,0.4005,0.7367,-0.1494,0.3754,0.7322,-0.1359,0.3478,0.7352,-0.1262
three,0.891,0.906,0.0,0.9143,0.7999,0.0205,0.8853,0.7109,0.0242,0.8416,0.6883,0.0248,0.7952,0.6867,0.0205,0.8886,0.6549,-0.0154,0.8713,0.533,-0.0221,0.8609,0.4648,-0.023,0.8523,0.412,-0.0228,0.8434,0.6681,-0.0316,0.8043,0.5382,-0.0351,0.7808,0.4628,-0.0386,0.7633,0.4084,-0.0402,0.8025,0.7053,-0.0434,0.7477,0.5995,-0.0515,0.716,0.5362,-0.0718,0.6933,0.4931,-0.0868,0.7743,0.7583,-0.0508,0.7664,0.733,-0.0604,0.7824,0.7474,-0.0659,0.7988,0.7678,-0.0689
four,0.9549,0.7887,0.0,0.8901,0.777,-0.0254,0.8461,0.7049,-0.0332,0.8711,0.6161,-0.0388,0.9131,0.5668,-0.0438,0.7918,0.6042,-0.0113,0.7382,0.5204,-0.0238,0.7055,0.4641,-0.0381,0.6799,0.4174,-0.0509,0.8322,0.5605,-0.0137,0.7909,0.4546,-0.0224,0.7664,0.3839,-0.0371,0.7456,0.3281,-0.0487,0.8794,0.5476,-0.0199,0.8517,0.4438,-0.0332,0.8323,0.3769,-0.051,0.8152,0.3206,-0.0641,0.9301,0.5553,-0.0287,0.927,0.4697,-0.0457,0.9256,0.4116,-0.0557,0.9244,0.3605,-0.0622
four,0.9099,0.7792,0.0,0.8431,0.762,-0.0241,0.7959,0.6926,-0.0324,0.8179,0.6058,-0.0396,0.857,0.5551,-0.0472,0.7543,0.5813,-0.0118,0.7053,0.4932,-0.026,0.6766,0.4355,-0.0412,0.6539,0.3874,-0.0545,0.795,0.5401,-0.0163,0.7577,0.4317,-0.0271,0.7345,0.3626,-0.0433,0.7153,0.3094,-0.0559,0.8405,0.5297,-0.0246,0.8164,0.4238,-0.0395,0.8006,0.3571,-0.0579,0.7857,0.3009,-0.0716,0.8874,0.5396,-0.0353,0.8832,0.4541,-0.0529,0.8825,0.3989,-0.0622,0.882,0.3507,-0.0687
four,0.8778,0.7793,0.0,0.8178,0.7798,-0.022,0.7702,0.7115,-0.0289,0.7861,0.6278,-0.0342,0.8229,0.5796,-0.0399,0.7323,0.6021,-0.0134,0.6842,0.5215,-0.0259,0.653,0.4668,-0.0389,0.6277,0.4224,-0.051,0.7698,0.5623,-0.018,0.7288,0.4648,-0.0288,0.7028,0.398,-0.0435,0.6807,0.3462,-0.0547,0.8125,0.5527,-0.0259,0.787,0.4514,-0.0417,0.7688,0.3852,-0.0591,0.752,0.329,-0.0714,0.8565,0.565,-0.0356,0.8522,0.4821,-0.0557,0.8481,0.4261,-0.0664,0.8434,0.375,-0.073
four,0.8953,0.7718,0.0,0.8324,0.7589,-0.0219,0.7852,0.6904,-0.0287,0.8058,0.6057,-0.0344,0.8488,0.5586,-0.04,0.7436,0.5819,-0.0086,0.6945,0.4971,-0.0211,0.6656,0.441,-0.0351,0.6429,0.3929,-0.0478,0.7826,0.5422,-0.0125,0.7447,0.4388,-0.0212,0.7225,0.3717,-0.0354,0.7042,0.3176,-0.0467,0.8274,0.5322,-0.0202,0.8034,0.4302,-0.033,0.7887,0.3644,-0.0495,0.7751,0.308,-0.0618,0.8739,0.5423,-0.0301,0.8687,0.4587,-0.0463,0.8666,0.4039,-0.055,0.8644,0.355,-0.0608
four,0.2863,0.6954,0.0,0.3418,0.7143,-0.0295,0.4025,0.6709,-0.038,0.4043,0.5895,-0.0434,0.3759,0.5382,-0.0484,0.4588,0.587,-0.019,0.5172,0.5305,-0.0337,0.5526,0.4905,-0.0485,0.5814,0.4531,-0.0605,0.4349,0.5388,-0.019,0.4917,0.4688,-0.0304,0.5297,0.4206,-0.0447,0.5594,0.379,-0.0555,0.4016,0.5129,-0.0229,0.446,0.4368,-0.0364,0.4791,0.3885,-0.0513,0.5049,0.3475,-0.0615,0.359,0.5001,-0.0298,0.3934,0.436,-0.0441,0.4185,0.3939,-0.0523,0.4405,0.3553,-0.0577
